"Notes"	"States"	"States Code"	"Disease"	"Disease Code"	"Year"	"Year Code"	Case Count
	"Alabama"	"01"	"Dengue virus infections, Severe dengue"	"11705"	"2018"	"2018"	1
	"Alabama"	"01"	"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection"	"11090"	"2016"	"2016"	6
	"Alabama"	"01"	"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection"	"11090"	"2017"	"2017"	6
	"Alabama"	"01"	"Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection"	"11090"	"2018"	"2018"	5
	"Alabama"	"01"	"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection"	"11088"	"2016"	"2016"	12
	"Alabama"	"01"	"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection"	"11088"	"2017"	"2017"	11
	"Alabama"	"01"	"Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection"	"11088"	"2018"	"2018"	16
	"Alabama"	"01"	"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis"	"11091"	"2016"	"2016"	3
	"Alabama"	"01"	"Ehrlichiosis and Anaplasmosis, Undetermined ehrlichiosis/anaplasmosis"	"11091"	"2018"	"2018"	3
	"Alabama"	"01"	"Giardiasis"	"11570"	"2016"	"2016"	234
	"Alabama"	"01"	"Giardiasis"	"11570"	"2017"	"2017"	191
	"Alabama"	"01"	"Giardiasis"	"11570"	"2018"	"2018"	218
	"Alabama"	"01"	"Gonorrhea"	"10280"	"2016"	"2016"	8408
	"Alabama"	"01"	"Gonorrhea"	"10280"	"2017"	"2017"	11948
	"Alabama"	"01"	"Gonorrhea"	"10280"	"2018"	"2018"	12742
	"Alabama"	"01"	"Haemophilus influenzae, invasive disease, All ages, all serotypes"	"10590"	"2016"	"2016"	87
	"Alabama"	"01"	"Haemophilus influenzae, invasive disease, All ages, all serotypes"	"10590"	"2017"	"2017"	95
	"Alabama"	"01"	"Haemophilus influenzae, invasive disease, All ages, all serotypes"	"10590"	"2018"	"2018"	113
	"Alabama"	"01"	"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b"	"10591"	"2017"	"2017"	1
	"Alabama"	"01"	"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype"	"10593"	"2016"	"2016"	3
	"Alabama"	"01"	"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype"	"10593"	"2017"	"2017"	8
	"Alabama"	"01"	"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype"	"10593"	"2018"	"2018"	4
	"Alabama"	"01"	"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable"	"10592"	"2016"	"2016"	2
	"Alabama"	"01"	"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable"	"10592"	"2017"	"2017"	5
	"Alabama"	"01"	"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable"	"10592"	"2018"	"2018"	6
	"Alabama"	"01"	"Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype"	"10594"	"2016"	"2016"	6
	"Alabama"	"01"	"Haemophilus influenzae, invasive disease, Age <5 years, Unknown serotype"	"10594"	"2018"	"2018"	4
	"Alabama"	"01"	"Hansen's disease"	"10380"	"2016"	"2016"	1
	"Alabama"	"01"	"Hansen's disease"	"10380"	"2017"	"2017"	1
	"Alabama"	"01"	"Hemolytic uremic syndrome post-diarrheal"	"11550"	"2016"	"2016"	6
	"Alabama"	"01"	"Hemolytic uremic syndrome post-diarrheal"	"11550"	"2018"	"2018"	3
	"Alabama"	"01"	"Hepatitis, A, acute"	"10110"	"2016"	"2016"	19
	"Alabama"	"01"	"Hepatitis, A, acute"	"10110"	"2017"	"2017"	23
	"Alabama"	"01"	"Hepatitis, A, acute"	"10110"	"2018"	"2018"	38
	"Alabama"	"01"	"Hepatitis, B, acute"	"10100"	"2016"	"2016"	59
	"Alabama"	"01"	"Hepatitis, B, acute"	"10100"	"2017"	"2017"	82
	"Alabama"	"01"	"Hepatitis, B, acute"	"10100"	"2018"	"2018"	48
	"Alabama"	"01"	"Hepatitis, B, perinatal infection"	"10104"	"2017"	"2017"	1
	"Alabama"	"01"	"Hepatitis, C, acute"	"10101"	"2016"	"2016"	32
	"Alabama"	"01"	"Hepatitis, C, acute"	"10101"	"2017"	"2017"	38
	"Alabama"	"01"	"Hepatitis, C, acute"	"10101"	"2018"	"2018"	105
	"Alabama"	"01"	"Hepatitis, C, acute, Confirmed"	"50228"	"2017"	"2017"	17
	"Alabama"	"01"	"Hepatitis, C, acute, Confirmed"	"50228"	"2018"	"2018"	52
	"Alabama"	"01"	"Hepatitis, C, acute, Probable"	"50229"	"2017"	"2017"	21
	"Alabama"	"01"	"Hepatitis, C, acute, Probable"	"50229"	"2018"	"2018"	53
	"Alabama"	"01"	"Human immunodeficiency virus diagnoses"	"10560"	"2016"	"2016"	433
	"Alabama"	"01"	"Human immunodeficiency virus diagnoses"	"10560"	"2017"	"2017"	493
	"Alabama"	"01"	"Human immunodeficiency virus diagnoses"	"10560"	"2018"	"2018"	339
	"Alabama"	"01"	"Influenza-associated pediatric mortality"	"11061"	"2017"	"2017"	1
	"Alabama"	"01"	"Influenza-associated pediatric mortality"	"11061"	"2018"	"2018"	1
	"Alabama"	"01"	"Invasive pneumococcal disease, All ages"	"11723"	"2016"	"2016"	396
	"Alabama"	"01"	"Invasive pneumococcal disease, All ages"	"11723"	"2017"	"2017"	427
	"Alabama"	"01"	"Invasive pneumococcal disease, All ages"	"11723"	"2018"	"2018"	450
	"Alabama"	"01"	"Invasive pneumococcal disease, All ages, Confirmed"	"50230"	"2016"	"2016"	396
	"Alabama"	"01"	"Invasive pneumococcal disease, All ages, Confirmed"	"50230"	"2017"	"2017"	427
	"Alabama"	"01"	"Invasive pneumococcal disease, All ages, Confirmed"	"50230"	"2018"	"2018"	448
	"Alabama"	"01"	"Invasive pneumococcal disease, All ages, Probable"	"50231"	"2018"	"2018"	2
	"Alabama"	"01"	"Invasive pneumococcal disease, Age <5 years"	"11722"	"2016"	"2016"	28
	"Alabama"	"01"	"Invasive pneumococcal disease, Age <5 years"	"11722"	"2017"	"2017"	31
	"Alabama"	"01"	"Invasive pneumococcal disease, Age <5 years"	"11722"	"2018"	"2018"	29
	"Alabama"	"01"	"Invasive pneumococcal disease, Age <5 years, Confirmed"	"50232"	"2016"	"2016"	28
	"Alabama"	"01"	"Invasive pneumococcal disease, Age <5 years, Confirmed"	"50232"	"2017"	"2017"	31
	"Alabama"	"01"	"Invasive pneumococcal disease, Age <5 years, Confirmed"	"50232"	"2018"	"2018"	29
	"Alabama"	"01"	"Legionellosis"	"10490"	"2016"	"2016"	63
	"Alabama"	"01"	"Legionellosis"	"10490"	"2017"	"2017"	66
	"Alabama"	"01"	"Legionellosis"	"10490"	"2018"	"2018"	76
	"Alabama"	"01"	"Leptospirosis"	"10390"	"2018"	"2018"	1
	"Alabama"	"01"	"Listeriosis, Total"	"10640"	"2016"	"2016"	8
	"Alabama"	"01"	"Listeriosis, Total"	"10640"	"2017"	"2017"	5
	"Alabama"	"01"	"Listeriosis, Total"	"10640"	"2018"	"2018"	11
	"Alabama"	"01"	"Lyme disease, Total"	"11080"	"2016"	"2016"	38
	"Alabama"	"01"	"Lyme disease, Total"	"11080"	"2017"	"2017"	41
	"Alabama"	"01"	"Lyme disease, Total"	"11080"	"2018"	"2018"	36
	"Alabama"	"01"	"Lyme disease, Confirmed"	"11081"	"2016"	"2016"	17
	"Alabama"	"01"	"Lyme disease, Confirmed"	"11081"	"2017"	"2017"	25
	"Alabama"	"01"	"Lyme disease, Confirmed"	"11081"	"2018"	"2018"	20
	"Alabama"	"01"	"Lyme disease, Probable"	"11082"	"2016"	"2016"	21
	"Alabama"	"01"	"Lyme disease, Probable"	"11082"	"2017"	"2017"	16
	"Alabama"	"01"	"Lyme disease, Probable"	"11082"	"2018"	"2018"	16
	"Alabama"	"01"	"Malaria"	"10130"	"2016"	"2016"	11
	"Alabama"	"01"	"Malaria"	"10130"	"2017"	"2017"	8
	"Alabama"	"01"	"Malaria"	"10130"	"2018"	"2018"	9
	"Alabama"	"01"	"Measles, Total"	"10140"	"2016"	"2016"	1
	"Alabama"	"01"	"Measles, Indigenous"	"10500"	"2016"	"2016"	1
	"Alabama"	"01"	"Meningococcal disease, All serogroups"	"10150"	"2016"	"2016"	5
	"Alabama"	"01"	"Meningococcal disease, All serogroups"	"10150"	"2017"	"2017"	5
	"Alabama"	"01"	"Meningococcal disease, All serogroups"	"10150"	"2018"	"2018"	3
	"Alabama"	"01"	"Meningococcal disease, Serogroups ACWY"	"10151"	"2018"	"2018"	1
	"Alabama"	"01"	"Meningococcal disease, Serogroup B"	"10152"	"2016"	"2016"	1
	"Alabama"	"01"	"Meningococcal disease, Serogroup B"	"10152"	"2017"	"2017"	2
	"Alabama"	"01"	"Meningococcal disease, Serogroup B"	"10152"	"2018"	"2018"	1
	"Alabama"	"01"	"Meningococcal disease, Other serogroups"	"10153"	"2017"	"2017"	1
	"Alabama"	"01"	"Meningococcal disease, Unknown serogroup"	"10154"	"2016"	"2016"	4
	"Alabama"	"01"	"Meningococcal disease, Unknown serogroup"	"10154"	"2017"	"2017"	2
	"Alabama"	"01"	"Meningococcal disease, Unknown serogroup"	"10154"	"2018"	"2018"	1
	"Alabama"	"01"	"Mumps"	"10180"	"2016"	"2016"	4
	"Alabama"	"01"	"Mumps"	"10180"	"2017"	"2017"	37
	"Alabama"	"01"	"Mumps"	"10180"	"2018"	"2018"	15
	"Alabama"	"01"	"Paratyphoid fever"	"50236"	"2018"	"2018"	6
	"Alabama"	"01"	"Pertussis"	"10190"	"2016"	"2016"	176
	"Alabama"	"01"	"Pertussis"	"10190"	"2017"	"2017"	231
	"Alabama"	"01"	"Pertussis"	"10190"	"2018"	"2018"	219
	"Alabama"	"01"	"Q fever, Total"	"10256"	"2016"	"2016"	1
	"Alabama"	"01"	"Q fever, Total"	"10256"	"2018"	"2018"	2
	"Alabama"	"01"	"Q fever, Acute"	"10257"	"2016"	"2016"	1
	"Alabama"	"01"	"Q fever, Acute"	"10257"	"2018"	"2018"	1
	"Alabama"	"01"	"Q fever, Chronic"	"10258"	"2018"	"2018"	1
	"Alabama"	"01"	"Rabies, Animal"	"10340"	"2016"	"2016"	77
	"Alabama"	"01"	"Rabies, Animal"	"10340"	"2017"	"2017"	52
	"Alabama"	"01"	"Rabies, Animal"	"10340"	"2018"	"2018"	57
	"Alabama"	"01"	"Rubella"	"10200"	"2017"	"2017"	1
	"Alabama"	"01"	"Salmonellosis"	"11000"	"2016"	"2016"	1284
	"Alabama"	"01"	"Salmonellosis"	"11000"	"2017"	"2017"	1136
	"Alabama"	"01"	"Salmonellosis (excluding paratyphoid fever and typhoid fever)"	"50242"	"2018"	"2018"	1196
	"Alabama"	"01"	"Shiga toxin-producing Escherichia coli (STEC)"	"11563"	"2016"	"2016"	39
	"Alabama"	"01"	"Shiga toxin-producing Escherichia coli (STEC)"	"11563"	"2017"	"2017"	30
	"Alabama"	"01"	"Shiga toxin-producing Escherichia coli (STEC)"	"11563"	"2018"	"2018"	129
	"Alabama"	"01"	"Shigellosis"	"11010"	"2016"	"2016"	239
	"Alabama"	"01"	"Shigellosis"	"11010"	"2017"	"2017"	247
	"Alabama"	"01"	"Shigellosis"	"11010"	"2018"	"2018"	319
	"Alabama"	"01"	"Spotted fever rickettsiosis, Total"	"10250"	"2016"	"2016"	453
	"Alabama"	"01"	"Spotted fever rickettsiosis, Total"	"10250"	"2017"	"2017"	671
	"Alabama"	"01"	"Spotted fever rickettsiosis, Total"	"10250"	"2018"	"2018"	673
	"Alabama"	"01"	"Spotted fever rickettsiosis, Confirmed"	"10253"	"2016"	"2016"	1
	"Alabama"	"01"	"Spotted fever rickettsiosis, Confirmed"	"10253"	"2017"	"2017"	6
	"Alabama"	"01"	"Spotted fever rickettsiosis, Confirmed"	"10253"	"2018"	"2018"	8
	"Alabama"	"01"	"Spotted fever rickettsiosis, Probable"	"10254"	"2016"	"2016"	452
	"Alabama"	"01"	"Spotted fever rickettsiosis, Probable"	"10254"	"2017"	"2017"	665
	"Alabama"	"01"	"Spotted fever rickettsiosis, Probable"	"10254"	"2018"	"2018"	665
	"Alabama"	"01"	"Syphilis, Total, all stages"	"10399"	"2016"	"2016"	905
	"Alabama"	"01"	"Syphilis, Total, all stages"	"10399"	"2017"	"2017"	1202
	"Alabama"	"01"	"Syphilis, Total, all stages"	"10399"	"2018"	"2018"	1285
	"Alabama"	"01"	"Syphilis, Congenital"	"10316"	"2016"	"2016"	4
	"Alabama"	"01"	"Syphilis, Congenital"	"10316"	"2017"	"2017"	6
	"Alabama"	"01"	"Syphilis, Congenital"	"10316"	"2018"	"2018"	7
	"Alabama"	"01"	"Syphilis, Primary and secondary"	"10310"	"2016"	"2016"	376
	"Alabama"	"01"	"Syphilis, Primary and secondary"	"10310"	"2017"	"2017"	424
	"Alabama"	"01"	"Syphilis, Primary and secondary"	"10310"	"2018"	"2018"	477
	"Alabama"	"01"	"Tetanus"	"10210"	"2016"	"2016"	1
	"Alabama"	"01"	"Tetanus"	"10210"	"2017"	"2017"	1
	"Alabama"	"01"	"Tuberculosis"	"10220"	"2016"	"2016"	112
	"Alabama"	"01"	"Tuberculosis"	"10220"	"2017"	"2017"	120
	"Alabama"	"01"	"Tuberculosis"	"10220"	"2018"	"2018"	91
	"Alabama"	"01"	"Tularemia"	"10230"	"2016"	"2016"	1
	"Alabama"	"01"	"Tularemia"	"10230"	"2017"	"2017"	1
	"Alabama"	"01"	"Typhoid fever"	"10240"	"2017"	"2017"	1
	"Alabama"	"01"	"Typhoid fever"	"10240"	"2018"	"2018"	1
	"Alabama"	"01"	"Vancomycin-intermediate Staphylococcus aureus"	"11663"	"2016"	"2016"	3
	"Alabama"	"01"	"Vancomycin-intermediate Staphylococcus aureus"	"11663"	"2017"	"2017"	4
	"Alabama"	"01"	"Vancomycin-intermediate Staphylococcus aureus"	"11663"	"2018"	"2018"	1
	"Alabama"	"01"	"Varicella morbidity"	"10030"	"2016"	"2016"	107
	"Alabama"	"01"	"Varicella morbidity"	"10030"	"2017"	"2017"	94
	"Alabama"	"01"	"Varicella morbidity"	"10030"	"2018"	"2018"	78
	"Alabama"	"01"	"Vibriosis, Total"	"11545"	"2016"	"2016"	32
	"Alabama"	"01"	"Vibriosis, Total"	"11545"	"2017"	"2017"	26
	"Alabama"	"01"	"Vibriosis, Total"	"11545"	"2018"	"2018"	38
	"Alabama"	"01"	"Vibriosis, Confirmed"	"50234"	"2016"	"2016"	32
	"Alabama"	"01"	"Vibriosis, Confirmed"	"50234"	"2017"	"2017"	23
	"Alabama"	"01"	"Vibriosis, Confirmed"	"50234"	"2018"	"2018"	26
	"Alabama"	"01"	"Vibriosis, Probable"	"50235"	"2017"	"2017"	3
	"Alabama"	"01"	"Vibriosis, Probable"	"50235"	"2018"	"2018"	12
	"Alabama"	"01"	"Zika virus, Zika virus disease, non-congenital"	"50223"	"2016"	"2016"	37
	"Alabama"	"01"	"Zika virus, Zika virus disease, non-congenital"	"50223"	"2017"	"2017"	3
	"Alabama"	"01"	"Zika virus, Zika virus disease, non-congenital"	"50223"	"2018"	"2018"	2
	"Alabama"	"01"	"Zika virus, Zika virus infection, non-congenital"	"50221"	"2016"	"2016"	4
	"Alabama"	"01"	"Zika virus, Zika virus infection, non-congenital"	"50221"	"2017"	"2017"	1
	"Alabama"	"01"	"Zika virus, Zika virus infection, non-congenital"	"50221"	"2018"	"2018"	1
	"Alaska"	"02"	"Arboviral diseases, Chikungunya virus disease"	"10073"	"2017"	"2017"	2
	"Alaska"	"02"	"Arboviral diseases, West Nile virus disease, Neuroinvasive"	"10056"	"2018"	"2018"	1
	"Alaska"	"02"	"Botulism, Total"	"10360"	"2016"	"2016"	2
	"Alaska"	"02"	"Botulism, Total"	"10360"	"2017"	"2017"	3
	"Alaska"	"02"	"Botulism, Total"	"10360"	"2018"	"2018"	2
	"Alaska"	"02"	"Botulism, Foodborne"	"10530"	"2016"	"2016"	2
	"Alaska"	"02"	"Botulism, Foodborne"	"10530"	"2017"	"2017"	3
	"Alaska"	"02"	"Botulism, Foodborne"	"10530"	"2018"	"2018"	2
	"Alaska"	"02"	"Brucellosis"	"10020"	"2016"	"2016"	2
	"Alaska"	"02"	"Brucellosis"	"10020"	"2017"	"2017"	1
	"Alaska"	"02"	"Brucellosis"	"10020"	"2018"	"2018"	2
	"Alaska"	"02"	"Campylobacteriosis"	"11020"	"2016"	"2016"	117
	"Alaska"	"02"	"Campylobacteriosis"	"11020"	"2017"	"2017"	126
	"Alaska"	"02"	"Campylobacteriosis"	"11020"	"2018"	"2018"	132
	"Alaska"	"02"	"Chlamydia trachomatis infection"	"10274"	"2016"	"2016"	5698
	"Alaska"	"02"	"Chlamydia trachomatis infection"	"10274"	"2017"	"2017"	5934
	"Alaska"	"02"	"Chlamydia trachomatis infection"	"10274"	"2018"	"2018"	6159
	"Alaska"	"02"	"Cryptosporidiosis, Total"	"11580"	"2016"	"2016"	10
	"Alaska"	"02"	"Cryptosporidiosis, Total"	"11580"	"2017"	"2017"	20
	"Alaska"	"02"	"Cryptosporidiosis, Total"	"11580"	"2018"	"2018"	17
	"Alaska"	"02"	"Cryptosporidiosis, Confirmed"	"11582"	"2016"	"2016"	5
	"Alaska"	"02"	"Cryptosporidiosis, Confirmed"	"11582"	"2017"	"2017"	15
	"Alaska"	"02"	"Cryptosporidiosis, Confirmed"	"11582"	"2018"	"2018"	11
	"Alaska"	"02"	"Cryptosporidiosis, Probable"	"11583"	"2016"	"2016"	5
	"Alaska"	"02"	"Cryptosporidiosis, Probable"	"11583"	"2017"	"2017"	5
	"Alaska"	"02"	"Cryptosporidiosis, Probable"	"11583"	"2018"	"2018"	6
	"Alaska"	"02"	"Cyclosporiasis"	"11575"	"2016"	"2016"	2
	"Alaska"	"02"	"Cyclosporiasis"	"11575"	"2017"	"2017"	1
	"Alaska"	"02"	"Cyclosporiasis"	"11575"	"2018"	"2018"	3
	"Alaska"	"02"	"Dengue virus infections, Dengue"	"10680"	"2016"	"2016"	4
	"Alaska"	"02"	"Dengue virus infections, Dengue"	"10680"	"2017"	"2017"	1
	"Alaska"	"02"	"Dengue virus infections, Dengue"	"10680"	"2018"	"2018"	1
	"Alaska"	"02"	"Dengue virus infections, Dengue-like illness"	"11704"	"2018"	"2018"	1
	"Alaska"	"02"	"Giardiasis"	"11570"	"2016"	"2016"	86
	"Alaska"	"02"	"Giardiasis"	"11570"	"2017"	"2017"	90
	"Alaska"	"02"	"Giardiasis"	"11570"	"2018"	"2018"	71
	"Alaska"	"02"	"Gonorrhea"	"10280"	"2016"	"2016"	1454
	"Alaska"	"02"	"Gonorrhea"	"10280"	"2017"	"2017"	2189
	"Alaska"	"02"	"Gonorrhea"	"10280"	"2018"	"2018"	2247
	"Alaska"	"02"	"Haemophilus influenzae, invasive disease, All ages, all serotypes"	"10590"	"2016"	"2016"	18
	"Alaska"	"02"	"Haemophilus influenzae, invasive disease, All ages, all serotypes"	"10590"	"2017"	"2017"	23
	"Alaska"	"02"	"Haemophilus influenzae, invasive disease, All ages, all serotypes"	"10590"	"2018"	"2018"	37
	"Alaska"	"02"	"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b"	"10591"	"2016"	"2016"	1
	"Alaska"	"02"	"Haemophilus influenzae, invasive disease, Age <5 years, Serotype b"	"10591"	"2017"	"2017"	2
	"Alaska"	"02"	"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype"	"10593"	"2016"	"2016"	7
	"Alaska"	"02"	"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype"	"10593"	"2017"	"2017"	9
	"Alaska"	"02"	"Haemophilus influenzae, invasive disease, Age <5 years, Non-b serotype"	"10593"	"2018"	"2018"	15
	"Alaska"	"02"	"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable"	"10592"	"2016"	"2016"	1
	"Alaska"	"02"	"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable"	"10592"	"2017"	"2017"	1
	"Alaska"	"02"	"Haemophilus influenzae, invasive disease, Age <5 years, Nontypeable"	"10592"	"2018"	"2018"	1
	"Alaska"	"02"	"Hansen's disease"	"10380"	"2016"	"2016"	1
	"Alaska"	"02"	"Hansen's disease"	"10380"	"2017"	"2017"	2
	"Alaska"	"02"	"Hansen's disease"	"10380"	"2018"	"2018"	1
	"Alaska"	"02"	"Hemolytic uremic syndrome post-diarrheal"	"11550"	"2017"	"2017"	1
	"Alaska"	"02"	"Hepatitis, A, acute"	"10110"	"2016"	"2016"	2
	"Alaska"	"02"	"Hepatitis, A, acute"	"10110"	"2018"	"2018"	1
	"Alaska"	"02"	"Hepatitis, B, acute"	"10100"	"2016"	"2016"	6
	"Alaska"	"02"	"Hepatitis, B, acute"	"10100"	"2017"	"2017"	9
	"Alaska"	"02"	"Hepatitis, B, acute"	"10100"	"2018"	"2018"	7
	"Alaska"	"02"	"Hepatitis, B, perinatal infection"	"10104"	"2018"	"2018"	1
	"Alaska"	"02"	"Hepatitis, C, perinatal infection"	"50248"	"2018"	"2018"	1
	"Alaska"	"02"	"Human immunodeficiency virus diagnoses"	"10560"	"2016"	"2016"	35
	"Alaska"	"02"	"Human immunodeficiency virus diagnoses"	"10560"	"2017"	"2017"	28
	"Alaska"	"02"	"Human immunodeficiency virus diagnoses"	"10560"	"2018"	"2018"	22
	"Alaska"	"02"	"Invasive pneumococcal disease, All ages"	"11723"	"2016"	"2016"	129
	"Alaska"	"02"	"Invasive pneumococcal disease, All ages"	"11723"	"2017"	"2017"	125
	"Alaska"	"02"	"Invasive pneumococcal disease, All ages"	"11723"	"2018"	"2018"	142
	"Alaska"	"02"	"Invasive pneumococcal disease, All ages, Confirmed"	"50230"	"2016"	"2016"	129
	"Alaska"	"02"	"Invasive pneumococcal disease, All ages, Confirmed"	"50230"	"2017"	"2017"	125
	"Alaska"	"02"	"Invasive pneumococcal disease, All ages, Confirmed"	"50230"	"2018"	"2018"	142
	"Alaska"	"02"	"Invasive pneumococcal disease, Age <5 years"	"11722"	"2016"	"2016"	7
	"Alaska"	"02"	"Invasive pneumococcal disease, Age <5 years"	"11722"	"2017"	"2017"	15
	"Alaska"	"02"	"Invasive pneumococcal disease, Age <5 years"	"11722"	"2018"	"2018"	13
	"Alaska"	"02"	"Invasive pneumococcal disease, Age <5 years, Confirmed"	"50232"	"2016"	"2016"	7
	"Alaska"	"02"	"Invasive pneumococcal disease, Age <5 years, Confirmed"	"50232"	"2017"	"2017"	15
	"Alaska"	"02"	"Invasive pneumococcal disease, Age <5 years, Confirmed"	"50232"	"2018"	"2018"	13
	"Alaska"	"02"	"Legionellosis"	"10490"	"2016"	"2016"	1
	"Alaska"	"02"	"Legionellosis"	"10490"	"2017"	"2017"	6
	"Alaska"	"02"	"Legionellosis"	"10490"	"2018"	"2018"	3
	"Alaska"	"02"	"Listeriosis, Total"	"10640"	"2016"	"2016"	3
	"Alaska"	"02"	"Listeriosis, Total"	"10640"	"2017"	"2017"	3
	"Alaska"	"02"	"Listeriosis, Total"	"10640"	"2018"	"2018"	1
	"Alaska"	"02"	"Lyme disease, Total"	"11080"	"2016"	"2016"	15
	"Alaska"	"02"	"Lyme disease, Total"	"11080"	"2017"	"2017"	10
	"Alaska"	"02"	"Lyme disease, Total"	"11080"	"2018"	"2018"	11
	"Alaska"	"02"	"Lyme disease, Confirmed"	"11081"	"2016"	"2016"	6
	"Alaska"	"02"	"Lyme disease, Confirmed"	"11081"	"2017"	"2017"	8
	"Alaska"	"02"	"Lyme disease, Confirmed"	"11081"	"2018"	"2018"	8
	"Alaska"	"02"	"Lyme disease, Probable"	"11082"	"2016"	"2016"	9
	"Alaska"	"02"	"Lyme disease, Probable"	"11082"	"2017"	"2017"	2
	"Alaska"	"02"	"Lyme disease, Probable"	"11082"	"2018"	"2018"	3
	"Alaska"	"02"	"Malaria"	"10130"	"2016"	"2016"	2
	"Alaska"	"02"	"Malaria"	"10130"	"2017"	"2017"	5
	"Alaska"	"02"	"Malaria"	"10130"	"2018"	"2018"	6
	"Alaska"	"02"	"Meningococcal disease, All serogroups"	"10150"	"2016"	"2016"	7
	"Alaska"	"02"	"Meningococcal disease, All serogroups"	"10150"	"2017"	"2017"	2
	"Alaska"	"02"	"Meningococcal disease, All serogroups"	"10150"	"2018"	"2018"	3
	"Alaska"	"02"	"Meningococcal disease, Serogroups ACWY"	"10151"	"2016"	"2016"	5
